Date,symbol,signal,prev_high,prev_low,prev_close,atr,prob_hh,prob_hl
2016-01-08,CMG,1.0,425.190002,411.609985,416.0,18.414824866003933,0.5942857142857143,0.5114285714285715
2016-01-11,CMG,-1.0,426.290009,411.73999,413.290009,18.02834427940354,0.47714285714285715,0.4142857142857143
2016-01-12,CMG,1.0,419.920013,406.350006,411.100006,17.582510551463184,0.5457142857142857,0.5142857142857142
2016-01-13,CMG,-1.0,420.799988,399.140015,404.26001,17.990256796316864,0.4,0.32857142857142857
2016-01-14,CMG,1.0,432.299988,406.649994,428.279999,18.99522891668517,0.7542857142857143,0.8857142857142857
2016-01-15,CMG,1.0,463.51001,436.5,454.299988,20.61870712501666,0.5228571428571429,0.6657142857142857
2016-01-18,CMG,1.0,476.429993,441.14999400000005,475.940002,22.08483631251499,0.6514285714285715,0.8457142857142858
2016-01-20,CMG,-1.0,478.369995,456.100006,469.470001,22.103351581263492,0.39714285714285713,0.4828571428571429
2016-01-21,CMG,1.0,472.790009,451.089996,465.5,22.063017723137143,0.6285714285714286,0.6657142857142857
2016-01-22,CMG,-1.0,475.589996,461.0,461.200012,21.315715550823427,0.24,0.2857142857142857
2016-01-25,CMG,-1.0,466.329987,446.700012,450.76001,21.147141495741085,0.26857142857142857,0.3
2016-01-26,CMG,1.0,448.920013,431.519989,442.170013,20.95642944616698,0.6171428571428571,0.6057142857142858
2016-01-27,CMG,1.0,449.89999400000005,440.01001,448.14999400000005,19.849784901550283,0.7485714285714286,0.7285714285714285
2016-01-28,CMG,-1.0,454.48999,442.25,442.64001500000006,19.088805411395253,0.1457142857142857,0.23142857142857143
2016-01-29,CMG,1.0,455.9800110000001,443.299988,453.079987,18.51392447025573,0.74,0.7942857142857143
2016-02-01,CMG,-1.0,470.0,451.329987,452.970001,18.529533323230158,0.2742857142857143,0.28285714285714286
2016-02-02,CMG,-1.0,479.0,463.01001,472.64001500000006,19.27957989090714,0.4057142857142857,0.4257142857142857
2016-02-03,CMG,2.0,484.200012,468.299988,475.670013,18.94162430181643,0.3514285714285714,0.5771428571428572
2016-02-04,CMG,1.0,466.64001500000006,440.410004,461.73999,20.573462771634784,0.56,0.6371428571428571
2016-02-05,CMG,1.0,476.670013,456.0,470.89999400000005,20.583117794471303,0.5371428571428571,0.8342857142857143
2016-02-08,CMG,-1.0,475.589996,454.450012,460.14001500000006,20.63880441502417,0.1742857142857143,0.24571428571428572
2016-02-09,CMG,-1.0,461.109985,435.869995,445.0,21.09892297352175,0.28285714285714286,0.4085714285714286
2016-02-10,CMG,-1.0,452.019989,436.859985,440.929993,20.505031076169576,0.47714285714285715,0.2742857142857143
2016-02-11,CMG,1.0,453.799988,442.5,448.80999800000006,19.741527468552615,0.5257142857142857,0.6057142857142858
2016-02-12,CMG,1.0,467.779999,441.01001,461.39001500000006,20.44437362169735,0.5885714285714285,0.8885714285714286
2016-02-15,CMG,1.0,487.9800110000001,465.459991,480.570007,21.058935859527615,0.5,0.8685714285714285
2016-02-17,CMG,1.0,493.0,478.0,492.940002,20.453042273574855,0.8171428571428572,0.82
2016-02-18,CMG,1.0,514.799988,495.220001,514.01001,20.59373664621737,0.8628571428571429,0.9828571428571429
2016-02-19,CMG,1.0,518.8599849999998,502.049988,515.929993,20.215362681595614,0.5971428571428572,0.5942857142857143
2016-02-22,CMG,-1.0,526.22998,509.5,511.579987,19.86682441343605,0.38,0.36857142857142855
2016-02-23,CMG,1.0,529.3900150000002,514.48999,525.900024,19.661144772092463,0.7485714285714286,0.8142857142857143
2016-02-24,CMG,1.0,530.849976,513.1099849999998,525.0599980000002,19.46902939488323,0.6457142857142857,0.8257142857142857
2016-02-25,CMG,-1.0,522.869995,512.659973,514.8599849999998,18.76212895539492,0.4714285714285714,0.3914285714285714
2016-02-26,CMG,-1.0,515.849976,497.51001,505.329987,18.719912659855424,0.37714285714285717,0.4828571428571429
2016-02-29,CMG,1.0,508.0,493.109985,506.01001,18.336922893869883,0.6428571428571429,0.6171428571428571
2016-03-01,CMG,-1.0,522.52002,506.769989,509.160004,18.154231604482895,0.3028571428571429,0.36857142857142855
2016-03-02,CMG,-1.0,516.0,506.029999,509.970001,17.33580854403461,0.48,0.2885714285714286
2016-03-03,CMG,1.0,528.950012,512.799988,525.6900019999998,17.500228789631148,0.62,0.8257142857142857
2016-03-04,CMG,2.0,530.130005,519.27002,524.289978,16.836204410668024,0.43714285714285717,0.6085714285714285
2016-03-07,CMG,-1.0,541.929993,527.299988,529.0,16.916585469601216,0.4142857142857143,0.36857142857142855
2016-03-08,CMG,1.0,536.0,520.080017,533.6900019999998,16.816925222641096,0.6971428571428572,0.6514285714285715
2016-03-09,CMG,-1.0,542.5,523.419983,524.6900019999998,17.043234400376985,0.2542857142857143,0.2914285714285714
2016-03-10,CMG,2.0,518.6099849999998,492.5,506.630005,18.557911160339266,0.36,0.5028571428571429
2016-03-11,CMG,-1.0,514.0,498.929993,503.679993,18.209120744305338,0.35714285714285715,0.27714285714285714
2016-03-14,CMG,-1.0,514.8900150000002,504.25,507.850006,17.509210869874817,0.3514285714285714,0.32285714285714284
2016-03-15,CMG,1.0,521.51001,508.01001,515.72998,17.12429018288733,0.5,0.7171428571428572
2016-03-16,CMG,-1.0,511.5,499.420013,503.0,17.042857864598595,0.2571428571428571,0.32
2016-03-17,CMG,1.0,506.0,473.109985,500.350006,18.627573578138737,0.5714285714285714,0.74
2016-03-18,CMG,-1.0,497.420013,470.799988,471.589996,19.719818020324865,0.07428571428571429,0.18571428571428572
2016-03-21,CMG,-1.0,473.420013,454.5,455.369995,19.639837518292374,0.22857142857142856,0.16857142857142857
2016-03-22,CMG,1.0,463.420013,452.779999,462.4800110000001,18.739855166463137,0.9028571428571428,0.8485714285714285
2016-03-23,CMG,1.0,474.119995,458.39999400000005,471.76001,18.43786974981682,0.78,0.9085714285714286
2016-03-24,CMG,-1.0,481.630005,471.0,474.459991,17.657083274835138,0.44285714285714284,0.32285714285714284
2016-03-25,CMG,1.0,472.350006,462.450012,471.369995,17.092372847351623,0.8171428571428572,0.8028571428571428
2016-03-29,CMG,0.0,480.619995,472.48999,475.30999800000006,16.30813556261646,0.5171428571428571,0.4342857142857143
2016-03-30,CMG,2.0,468.119995,453.869995,460.0,16.82132230635482,0.37142857142857144,0.5742857142857143
2016-03-31,CMG,1.0,471.0,454.23999,466.14999400000005,16.81519107571934,0.6514285714285715,0.76
2016-04-01,CMG,1.0,473.75,462.51001,470.970001,16.2576709681474,0.7914285714285715,0.7114285714285714
2016-04-04,CMG,1.0,467.89999400000005,455.75,464.80999800000006,16.153903971332664,0.6657142857142857,0.8171428571428572
2016-04-05,CMG,-1.0,473.170013,463.01001,465.0,15.554513874199392,0.4257142857142857,0.29428571428571426
2016-04-06,CMG,2.0,470.190002,460.2300110000001,463.420013,14.995061586779443,0.38285714285714284,0.5171428571428571
2016-04-07,CMG,-1.0,466.14999400000005,454.799988,455.25,14.630556028101505,0.24,0.3057142857142857
2016-04-08,CMG,1.0,455.920013,444.440002,450.600006,14.315501525291353,0.6657142857142857,0.5828571428571429
2016-04-11,CMG,-1.0,458.75,448.529999,451.25,13.90595147276222,0.3514285714285714,0.26571428571428574
2016-04-12,CMG,-1.0,456.55999800000006,444.0,444.209991,13.771356125486005,0.24571428571428572,0.1657142857142857
2016-04-13,CMG,1.0,447.0,434.05999800000006,444.619995,13.688220712937397,0.6742857142857143,0.8057142857142857
2016-04-14,CMG,1.0,446.64001500000006,435.89001500000006,444.660004,13.394398641643658,0.8285714285714286,0.8542857142857143
2016-04-15,CMG,-1.0,460.98999,452.0,456.01001,13.68795737747929,0.39714285714285713,0.33714285714285713
2016-04-18,CMG,1.0,469.9800110000001,457.0,469.290009,13.71616173973137,0.7628571428571429,0.8428571428571429
2016-04-19,CMG,-1.0,468.98999,458.0,460.119995,13.473546465758233,0.19142857142857142,0.26
